
#################################################################
Running experiments for: ./MVM_sequential  (sequential mode)
#################################################################

========================================
Matrix: ./1138_bus.txt
========================================
Sequential | 90th percentile: 0.008 ms

========================================
Matrix: ./adder_dcop_32.txt
========================================
Sequential | 90th percentile: 0.017 ms

========================================
Matrix: ./bcsstk14.txt
========================================
Sequential | 90th percentile: 0.044 ms

========================================
Matrix: ./rail_5177.txt
========================================
Sequential | 90th percentile: 0.025 ms

========================================
Matrix: ./chimera_matrix.txt
========================================
Sequential | 90th percentile: 1.378 ms


#################################################################
Running experiments for: ./MVM_parallel  (parallel mode)
#################################################################

========================================
Matrix: ./1138_bus.txt
========================================
Schedule: static  | Threads: 2  | Chunk: 1   | 90th percentile: 0.026611 ms
Schedule: static  | Threads: 2  | Chunk: 2   | 90th percentile: 0.011475 ms
Schedule: static  | Threads: 2  | Chunk: 4   | 90th percentile: 0.008789 ms
Schedule: static  | Threads: 2  | Chunk: 8   | 90th percentile: 0.006592 ms
Schedule: static  | Threads: 2  | Chunk: 16  | 90th percentile: 0.005859 ms
Schedule: static  | Threads: 2  | Chunk: 32  | 90th percentile: 0.005371 ms
Schedule: static  | Threads: 4  | Chunk: 1   | 90th percentile: 0.012939 ms
Schedule: static  | Threads: 4  | Chunk: 2   | 90th percentile: 0.010986 ms
Schedule: static  | Threads: 4  | Chunk: 4   | 90th percentile: 0.007324 ms
Schedule: static  | Threads: 4  | Chunk: 8   | 90th percentile: 0.008301 ms
Schedule: static  | Threads: 4  | Chunk: 16  | 90th percentile: 0.005615 ms
Schedule: static  | Threads: 4  | Chunk: 32  | 90th percentile: 0.006104 ms
Schedule: static  | Threads: 8  | Chunk: 1   | 90th percentile: 0.007812 ms
Schedule: static  | Threads: 8  | Chunk: 2   | 90th percentile: 0.006104 ms
Schedule: static  | Threads: 8  | Chunk: 4   | 90th percentile: 0.004883 ms
Schedule: static  | Threads: 8  | Chunk: 8   | 90th percentile: 0.005127 ms
Schedule: static  | Threads: 8  | Chunk: 16  | 90th percentile: 0.005615 ms
Schedule: static  | Threads: 8  | Chunk: 32  | 90th percentile: 0.004150 ms
Schedule: static  | Threads: 16 | Chunk: 1   | 90th percentile: 0.658203 ms
Schedule: static  | Threads: 16 | Chunk: 2   | 90th percentile: 0.668701 ms
Schedule: static  | Threads: 16 | Chunk: 4   | 90th percentile: 0.647949 ms
Schedule: static  | Threads: 16 | Chunk: 8   | 90th percentile: 0.614014 ms
Schedule: static  | Threads: 16 | Chunk: 16  | 90th percentile: 0.642090 ms
Schedule: static  | Threads: 16 | Chunk: 32  | 90th percentile: 0.638428 ms
Schedule: static  | Threads: 32 | Chunk: 1   | 90th percentile: 1.260986 ms
Schedule: static  | Threads: 32 | Chunk: 2   | 90th percentile: 1.204834 ms
Schedule: static  | Threads: 32 | Chunk: 4   | 90th percentile: 1.270996 ms
Schedule: static  | Threads: 32 | Chunk: 8   | 90th percentile: 1.401855 ms
Schedule: static  | Threads: 32 | Chunk: 16  | 90th percentile: 1.268066 ms
Schedule: static  | Threads: 32 | Chunk: 32  | 90th percentile: 1.444824 ms
Schedule: dynamic | Threads: 2  | Chunk: 1   | 90th percentile: 0.039307 ms
Schedule: dynamic | Threads: 2  | Chunk: 2   | 90th percentile: 0.021973 ms
Schedule: dynamic | Threads: 2  | Chunk: 4   | 90th percentile: 0.014160 ms
Schedule: dynamic | Threads: 2  | Chunk: 8   | 90th percentile: 0.010254 ms
Schedule: dynamic | Threads: 2  | Chunk: 16  | 90th percentile: 0.008301 ms
Schedule: dynamic | Threads: 2  | Chunk: 32  | 90th percentile: 0.007324 ms
Schedule: dynamic | Threads: 4  | Chunk: 1   | 90th percentile: 0.035645 ms
Schedule: dynamic | Threads: 4  | Chunk: 2   | 90th percentile: 0.017334 ms
Schedule: dynamic | Threads: 4  | Chunk: 4   | 90th percentile: 0.010742 ms
Schedule: dynamic | Threads: 4  | Chunk: 8   | 90th percentile: 0.007568 ms
Schedule: dynamic | Threads: 4  | Chunk: 16  | 90th percentile: 0.006348 ms
Schedule: dynamic | Threads: 4  | Chunk: 32  | 90th percentile: 0.005127 ms
Schedule: dynamic | Threads: 8  | Chunk: 1   | 90th percentile: 0.033691 ms
Schedule: dynamic | Threads: 8  | Chunk: 2   | 90th percentile: 0.018311 ms
Schedule: dynamic | Threads: 8  | Chunk: 4   | 90th percentile: 0.010010 ms
Schedule: dynamic | Threads: 8  | Chunk: 8   | 90th percentile: 0.011475 ms
Schedule: dynamic | Threads: 8  | Chunk: 16  | 90th percentile: 0.005371 ms
Schedule: dynamic | Threads: 8  | Chunk: 32  | 90th percentile: 0.004395 ms
Schedule: dynamic | Threads: 16 | Chunk: 1   | 90th percentile: 0.658447 ms
Schedule: dynamic | Threads: 16 | Chunk: 2   | 90th percentile: 0.625488 ms
Schedule: dynamic | Threads: 16 | Chunk: 4   | 90th percentile: 0.603271 ms
Schedule: dynamic | Threads: 16 | Chunk: 8   | 90th percentile: 0.598145 ms
Schedule: dynamic | Threads: 16 | Chunk: 16  | 90th percentile: 0.642334 ms
Schedule: dynamic | Threads: 16 | Chunk: 32  | 90th percentile: 0.655762 ms
Schedule: dynamic | Threads: 32 | Chunk: 1   | 90th percentile: 1.193604 ms
Schedule: dynamic | Threads: 32 | Chunk: 2   | 90th percentile: 1.185303 ms
Schedule: dynamic | Threads: 32 | Chunk: 4   | 90th percentile: 1.197510 ms
Schedule: dynamic | Threads: 32 | Chunk: 8   | 90th percentile: 1.293701 ms
Schedule: dynamic | Threads: 32 | Chunk: 16  | 90th percentile: 1.217285 ms
Schedule: dynamic | Threads: 32 | Chunk: 32  | 90th percentile: 1.230225 ms
Schedule: guided  | Threads: 2  | Chunk: 1   | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 2  | Chunk: 2   | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 2  | Chunk: 4   | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 2  | Chunk: 8   | 90th percentile: 0.005615 ms
Schedule: guided  | Threads: 2  | Chunk: 16  | 90th percentile: 0.005127 ms
Schedule: guided  | Threads: 2  | Chunk: 32  | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 4  | Chunk: 1   | 90th percentile: 0.005615 ms
Schedule: guided  | Threads: 4  | Chunk: 2   | 90th percentile: 0.005859 ms
Schedule: guided  | Threads: 4  | Chunk: 4   | 90th percentile: 0.005859 ms
Schedule: guided  | Threads: 4  | Chunk: 8   | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 4  | Chunk: 16  | 90th percentile: 0.004883 ms
Schedule: guided  | Threads: 4  | Chunk: 32  | 90th percentile: 0.005371 ms
Schedule: guided  | Threads: 8  | Chunk: 1   | 90th percentile: 0.007812 ms
Schedule: guided  | Threads: 8  | Chunk: 2   | 90th percentile: 0.010742 ms
Schedule: guided  | Threads: 8  | Chunk: 4   | 90th percentile: 0.006836 ms
Schedule: guided  | Threads: 8  | Chunk: 8   | 90th percentile: 0.005859 ms
Schedule: guided  | Threads: 8  | Chunk: 16  | 90th percentile: 0.005127 ms
Schedule: guided  | Threads: 8  | Chunk: 32  | 90th percentile: 0.004639 ms
Schedule: guided  | Threads: 16 | Chunk: 1   | 90th percentile: 0.673096 ms
Schedule: guided  | Threads: 16 | Chunk: 2   | 90th percentile: 0.740234 ms
Schedule: guided  | Threads: 16 | Chunk: 4   | 90th percentile: 0.639160 ms
Schedule: guided  | Threads: 16 | Chunk: 8   | 90th percentile: 0.618652 ms
Schedule: guided  | Threads: 16 | Chunk: 16  | 90th percentile: 0.703857 ms
Schedule: guided  | Threads: 16 | Chunk: 32  | 90th percentile: 0.641357 ms
Schedule: guided  | Threads: 32 | Chunk: 1   | 90th percentile: 1.217285 ms
Schedule: guided  | Threads: 32 | Chunk: 2   | 90th percentile: 1.229736 ms
Schedule: guided  | Threads: 32 | Chunk: 4   | 90th percentile: 1.228027 ms
Schedule: guided  | Threads: 32 | Chunk: 8   | 90th percentile: 1.249268 ms
Schedule: guided  | Threads: 32 | Chunk: 16  | 90th percentile: 1.182861 ms
Schedule: guided  | Threads: 32 | Chunk: 32  | 90th percentile: 1.238281 ms

========================================
Matrix: ./adder_dcop_32.txt
========================================
Schedule: static  | Threads: 2  | Chunk: 1   | 90th percentile: 0.030518 ms
Schedule: static  | Threads: 2  | Chunk: 2   | 90th percentile: 0.020752 ms
Schedule: static  | Threads: 2  | Chunk: 4   | 90th percentile: 0.016602 ms
Schedule: static  | Threads: 2  | Chunk: 8   | 90th percentile: 0.017578 ms
Schedule: static  | Threads: 2  | Chunk: 16  | 90th percentile: 0.013184 ms
Schedule: static  | Threads: 2  | Chunk: 32  | 90th percentile: 0.014648 ms
Schedule: static  | Threads: 4  | Chunk: 1   | 90th percentile: 0.023926 ms
Schedule: static  | Threads: 4  | Chunk: 2   | 90th percentile: 0.016846 ms
Schedule: static  | Threads: 4  | Chunk: 4   | 90th percentile: 0.014893 ms
Schedule: static  | Threads: 4  | Chunk: 8   | 90th percentile: 0.011475 ms
Schedule: static  | Threads: 4  | Chunk: 16  | 90th percentile: 0.011230 ms
Schedule: static  | Threads: 4  | Chunk: 32  | 90th percentile: 0.009033 ms
Schedule: static  | Threads: 8  | Chunk: 1   | 90th percentile: 0.013916 ms
Schedule: static  | Threads: 8  | Chunk: 2   | 90th percentile: 0.010986 ms
Schedule: static  | Threads: 8  | Chunk: 4   | 90th percentile: 0.009277 ms
Schedule: static  | Threads: 8  | Chunk: 8   | 90th percentile: 0.008301 ms
Schedule: static  | Threads: 8  | Chunk: 16  | 90th percentile: 0.008057 ms
Schedule: static  | Threads: 8  | Chunk: 32  | 90th percentile: 0.009033 ms
Schedule: static  | Threads: 16 | Chunk: 1   | 90th percentile: 0.698730 ms
Schedule: static  | Threads: 16 | Chunk: 2   | 90th percentile: 0.692871 ms
Schedule: static  | Threads: 16 | Chunk: 4   | 90th percentile: 0.646729 ms
Schedule: static  | Threads: 16 | Chunk: 8   | 90th percentile: 0.811768 ms
Schedule: static  | Threads: 16 | Chunk: 16  | 90th percentile: 0.674316 ms
Schedule: static  | Threads: 16 | Chunk: 32  | 90th percentile: 0.771240 ms
Schedule: static  | Threads: 32 | Chunk: 1   | 90th percentile: 1.238281 ms
Schedule: static  | Threads: 32 | Chunk: 2   | 90th percentile: 1.320312 ms
Schedule: static  | Threads: 32 | Chunk: 4   | 90th percentile: 1.328613 ms
Schedule: static  | Threads: 32 | Chunk: 8   | 90th percentile: 1.291260 ms
Schedule: static  | Threads: 32 | Chunk: 16  | 90th percentile: 1.824463 ms
Schedule: static  | Threads: 32 | Chunk: 32  | 90th percentile: 1.175781 ms
Schedule: dynamic | Threads: 2  | Chunk: 1   | 90th percentile: 0.069336 ms
Schedule: dynamic | Threads: 2  | Chunk: 2   | 90th percentile: 0.037109 ms
Schedule: dynamic | Threads: 2  | Chunk: 4   | 90th percentile: 0.027588 ms
Schedule: dynamic | Threads: 2  | Chunk: 8   | 90th percentile: 0.020508 ms
Schedule: dynamic | Threads: 2  | Chunk: 16  | 90th percentile: 0.015625 ms
Schedule: dynamic | Threads: 2  | Chunk: 32  | 90th percentile: 0.014893 ms
Schedule: dynamic | Threads: 4  | Chunk: 1   | 90th percentile: 0.060303 ms
Schedule: dynamic | Threads: 4  | Chunk: 2   | 90th percentile: 0.028564 ms
Schedule: dynamic | Threads: 4  | Chunk: 4   | 90th percentile: 0.020264 ms
Schedule: dynamic | Threads: 4  | Chunk: 8   | 90th percentile: 0.014648 ms
Schedule: dynamic | Threads: 4  | Chunk: 16  | 90th percentile: 0.012695 ms
Schedule: dynamic | Threads: 4  | Chunk: 32  | 90th percentile: 0.012207 ms
Schedule: dynamic | Threads: 8  | Chunk: 1   | 90th percentile: 0.051270 ms
Schedule: dynamic | Threads: 8  | Chunk: 2   | 90th percentile: 0.029053 ms
Schedule: dynamic | Threads: 8  | Chunk: 4   | 90th percentile: 0.037598 ms
Schedule: dynamic | Threads: 8  | Chunk: 8   | 90th percentile: 3.586426 ms
Schedule: dynamic | Threads: 8  | Chunk: 16  | 90th percentile: 0.010254 ms
Schedule: dynamic | Threads: 8  | Chunk: 32  | 90th percentile: 0.010010 ms
Schedule: dynamic | Threads: 16 | Chunk: 1   | 90th percentile: 1.009766 ms
Schedule: dynamic | Threads: 16 | Chunk: 2   | 90th percentile: 0.610596 ms
Schedule: dynamic | Threads: 16 | Chunk: 4   | 90th percentile: 0.646729 ms
Schedule: dynamic | Threads: 16 | Chunk: 8   | 90th percentile: 0.675049 ms
Schedule: dynamic | Threads: 16 | Chunk: 16  | 90th percentile: 0.670410 ms
Schedule: dynamic | Threads: 16 | Chunk: 32  | 90th percentile: 0.716309 ms
Schedule: dynamic | Threads: 32 | Chunk: 1   | 90th percentile: 1.280273 ms
Schedule: dynamic | Threads: 32 | Chunk: 2   | 90th percentile: 1.413818 ms
Schedule: dynamic | Threads: 32 | Chunk: 4   | 90th percentile: 1.305664 ms
Schedule: dynamic | Threads: 32 | Chunk: 8   | 90th percentile: 1.280029 ms
Schedule: dynamic | Threads: 32 | Chunk: 16  | 90th percentile: 1.284912 ms
Schedule: dynamic | Threads: 32 | Chunk: 32  | 90th percentile: 1.304932 ms
Schedule: guided  | Threads: 2  | Chunk: 1   | 90th percentile: 0.012207 ms
Schedule: guided  | Threads: 2  | Chunk: 2   | 90th percentile: 0.012451 ms
Schedule: guided  | Threads: 2  | Chunk: 4   | 90th percentile: 0.012695 ms
Schedule: guided  | Threads: 2  | Chunk: 8   | 90th percentile: 0.012695 ms
Schedule: guided  | Threads: 2  | Chunk: 16  | 90th percentile: 0.012695 ms
Schedule: guided  | Threads: 2  | Chunk: 32  | 90th percentile: 0.012939 ms
Schedule: guided  | Threads: 4  | Chunk: 1   | 90th percentile: 0.010498 ms
Schedule: guided  | Threads: 4  | Chunk: 2   | 90th percentile: 0.010986 ms
Schedule: guided  | Threads: 4  | Chunk: 4   | 90th percentile: 0.010742 ms
Schedule: guided  | Threads: 4  | Chunk: 8   | 90th percentile: 0.010010 ms
Schedule: guided  | Threads: 4  | Chunk: 16  | 90th percentile: 0.009521 ms
Schedule: guided  | Threads: 4  | Chunk: 32  | 90th percentile: 0.009766 ms
Schedule: guided  | Threads: 8  | Chunk: 1   | 90th percentile: 0.011230 ms
Schedule: guided  | Threads: 8  | Chunk: 2   | 90th percentile: 0.010742 ms
Schedule: guided  | Threads: 8  | Chunk: 4   | 90th percentile: 0.010010 ms
Schedule: guided  | Threads: 8  | Chunk: 8   | 90th percentile: 0.009277 ms
Schedule: guided  | Threads: 8  | Chunk: 16  | 90th percentile: 0.008545 ms
Schedule: guided  | Threads: 8  | Chunk: 32  | 90th percentile: 0.008057 ms
Schedule: guided  | Threads: 16 | Chunk: 1   | 90th percentile: 0.598145 ms
Schedule: guided  | Threads: 16 | Chunk: 2   | 90th percentile: 0.651123 ms
Schedule: guided  | Threads: 16 | Chunk: 4   | 90th percentile: 0.620850 ms
Schedule: guided  | Threads: 16 | Chunk: 8   | 90th percentile: 0.613770 ms
Schedule: guided  | Threads: 16 | Chunk: 16  | 90th percentile: 0.629883 ms
Schedule: guided  | Threads: 16 | Chunk: 32  | 90th percentile: 0.765137 ms
Schedule: guided  | Threads: 32 | Chunk: 1   | 90th percentile: 1.561279 ms
Schedule: guided  | Threads: 32 | Chunk: 2   | 90th percentile: 1.493164 ms
Schedule: guided  | Threads: 32 | Chunk: 4   | 90th percentile: 1.665283 ms
Schedule: guided  | Threads: 32 | Chunk: 8   | 90th percentile: 1.764404 ms
Schedule: guided  | Threads: 32 | Chunk: 16  | 90th percentile: 1.508545 ms
Schedule: guided  | Threads: 32 | Chunk: 32  | 90th percentile: 1.693604 ms

========================================
Matrix: ./bcsstk14.txt
========================================
Schedule: static  | Threads: 2  | Chunk: 1   | 90th percentile: 0.036621 ms
Schedule: static  | Threads: 2  | Chunk: 2   | 90th percentile: 0.039307 ms
Schedule: static  | Threads: 2  | Chunk: 4   | 90th percentile: 0.024658 ms
Schedule: static  | Threads: 2  | Chunk: 8   | 90th percentile: 0.022949 ms
Schedule: static  | Threads: 2  | Chunk: 16  | 90th percentile: 0.021484 ms
Schedule: static  | Threads: 2  | Chunk: 32  | 90th percentile: 0.043945 ms
Schedule: static  | Threads: 4  | Chunk: 1   | 90th percentile: 0.028809 ms
Schedule: static  | Threads: 4  | Chunk: 2   | 90th percentile: 0.023438 ms
Schedule: static  | Threads: 4  | Chunk: 4   | 90th percentile: 0.019287 ms
Schedule: static  | Threads: 4  | Chunk: 8   | 90th percentile: 0.017090 ms
Schedule: static  | Threads: 4  | Chunk: 16  | 90th percentile: 0.016113 ms
Schedule: static  | Threads: 4  | Chunk: 32  | 90th percentile: 0.015869 ms
Schedule: static  | Threads: 8  | Chunk: 1   | 90th percentile: 0.018555 ms
Schedule: static  | Threads: 8  | Chunk: 2   | 90th percentile: 0.014160 ms
Schedule: static  | Threads: 8  | Chunk: 4   | 90th percentile: 0.012939 ms
Schedule: static  | Threads: 8  | Chunk: 8   | 90th percentile: 0.011719 ms
Schedule: static  | Threads: 8  | Chunk: 16  | 90th percentile: 0.010742 ms
Schedule: static  | Threads: 8  | Chunk: 32  | 90th percentile: 0.010254 ms
Schedule: static  | Threads: 16 | Chunk: 1   | 90th percentile: 0.651123 ms
Schedule: static  | Threads: 16 | Chunk: 2   | 90th percentile: 0.680664 ms
Schedule: static  | Threads: 16 | Chunk: 4   | 90th percentile: 0.707520 ms
Schedule: static  | Threads: 16 | Chunk: 8   | 90th percentile: 0.680176 ms
Schedule: static  | Threads: 16 | Chunk: 16  | 90th percentile: 0.625732 ms
Schedule: static  | Threads: 16 | Chunk: 32  | 90th percentile: 0.625732 ms
Schedule: static  | Threads: 32 | Chunk: 1   | 90th percentile: 1.251709 ms
Schedule: static  | Threads: 32 | Chunk: 2   | 90th percentile: 1.222900 ms
Schedule: static  | Threads: 32 | Chunk: 4   | 90th percentile: 1.317139 ms
Schedule: static  | Threads: 32 | Chunk: 8   | 90th percentile: 1.222412 ms
Schedule: static  | Threads: 32 | Chunk: 16  | 90th percentile: 1.272217 ms
Schedule: static  | Threads: 32 | Chunk: 32  | 90th percentile: 1.210205 ms
Schedule: dynamic | Threads: 2  | Chunk: 1   | 90th percentile: 0.076416 ms
Schedule: dynamic | Threads: 2  | Chunk: 2   | 90th percentile: 0.039551 ms
Schedule: dynamic | Threads: 2  | Chunk: 4   | 90th percentile: 0.031494 ms
Schedule: dynamic | Threads: 2  | Chunk: 8   | 90th percentile: 0.025391 ms
Schedule: dynamic | Threads: 2  | Chunk: 16  | 90th percentile: 0.022461 ms
Schedule: dynamic | Threads: 2  | Chunk: 32  | 90th percentile: 0.020996 ms
Schedule: dynamic | Threads: 4  | Chunk: 1   | 90th percentile: 0.055420 ms
Schedule: dynamic | Threads: 4  | Chunk: 2   | 90th percentile: 0.029785 ms
Schedule: dynamic | Threads: 4  | Chunk: 4   | 90th percentile: 0.021973 ms
Schedule: dynamic | Threads: 4  | Chunk: 8   | 90th percentile: 0.016602 ms
Schedule: dynamic | Threads: 4  | Chunk: 16  | 90th percentile: 0.016113 ms
Schedule: dynamic | Threads: 4  | Chunk: 32  | 90th percentile: 0.013672 ms
Schedule: dynamic | Threads: 8  | Chunk: 1   | 90th percentile: 0.039307 ms
Schedule: dynamic | Threads: 8  | Chunk: 2   | 90th percentile: 0.024414 ms
Schedule: dynamic | Threads: 8  | Chunk: 4   | 90th percentile: 0.028564 ms
Schedule: dynamic | Threads: 8  | Chunk: 8   | 90th percentile: 0.012207 ms
Schedule: dynamic | Threads: 8  | Chunk: 16  | 90th percentile: 0.010742 ms
Schedule: dynamic | Threads: 8  | Chunk: 32  | 90th percentile: 0.010010 ms
Schedule: dynamic | Threads: 16 | Chunk: 1   | 90th percentile: 0.604980 ms
Schedule: dynamic | Threads: 16 | Chunk: 2   | 90th percentile: 0.643799 ms
Schedule: dynamic | Threads: 16 | Chunk: 4   | 90th percentile: 0.663330 ms
Schedule: dynamic | Threads: 16 | Chunk: 8   | 90th percentile: 0.716309 ms
Schedule: dynamic | Threads: 16 | Chunk: 16  | 90th percentile: 0.686523 ms
Schedule: dynamic | Threads: 16 | Chunk: 32  | 90th percentile: 0.626465 ms
Schedule: dynamic | Threads: 32 | Chunk: 1   | 90th percentile: 1.205566 ms
Schedule: dynamic | Threads: 32 | Chunk: 2   | 90th percentile: 1.449219 ms
Schedule: dynamic | Threads: 32 | Chunk: 4   | 90th percentile: 1.346924 ms
Schedule: dynamic | Threads: 32 | Chunk: 8   | 90th percentile: 1.241943 ms
Schedule: dynamic | Threads: 32 | Chunk: 16  | 90th percentile: 1.330566 ms
Schedule: dynamic | Threads: 32 | Chunk: 32  | 90th percentile: 1.378418 ms
Schedule: guided  | Threads: 2  | Chunk: 1   | 90th percentile: 0.023438 ms
Schedule: guided  | Threads: 2  | Chunk: 2   | 90th percentile: 0.029541 ms
Schedule: guided  | Threads: 2  | Chunk: 4   | 90th percentile: 0.019531 ms
Schedule: guided  | Threads: 2  | Chunk: 8   | 90th percentile: 0.019531 ms
Schedule: guided  | Threads: 2  | Chunk: 16  | 90th percentile: 0.019287 ms
Schedule: guided  | Threads: 2  | Chunk: 32  | 90th percentile: 0.022949 ms
Schedule: guided  | Threads: 4  | Chunk: 1   | 90th percentile: 0.015625 ms
Schedule: guided  | Threads: 4  | Chunk: 2   | 90th percentile: 0.017822 ms
Schedule: guided  | Threads: 4  | Chunk: 4   | 90th percentile: 0.018066 ms
Schedule: guided  | Threads: 4  | Chunk: 8   | 90th percentile: 0.017822 ms
Schedule: guided  | Threads: 4  | Chunk: 16  | 90th percentile: 0.013672 ms
Schedule: guided  | Threads: 4  | Chunk: 32  | 90th percentile: 0.014404 ms
Schedule: guided  | Threads: 8  | Chunk: 1   | 90th percentile: 0.012451 ms
Schedule: guided  | Threads: 8  | Chunk: 2   | 90th percentile: 0.012207 ms
Schedule: guided  | Threads: 8  | Chunk: 4   | 90th percentile: 0.010742 ms
Schedule: guided  | Threads: 8  | Chunk: 8   | 90th percentile: 0.010498 ms
Schedule: guided  | Threads: 8  | Chunk: 16  | 90th percentile: 0.017578 ms
Schedule: guided  | Threads: 8  | Chunk: 32  | 90th percentile: 0.010010 ms
Schedule: guided  | Threads: 16 | Chunk: 1   | 90th percentile: 0.692627 ms
Schedule: guided  | Threads: 16 | Chunk: 2   | 90th percentile: 0.765625 ms
Schedule: guided  | Threads: 16 | Chunk: 4   | 90th percentile: 0.589111 ms
Schedule: guided  | Threads: 16 | Chunk: 8   | 90th percentile: 0.637939 ms
Schedule: guided  | Threads: 16 | Chunk: 16  | 90th percentile: 0.714600 ms
Schedule: guided  | Threads: 16 | Chunk: 32  | 90th percentile: 0.629150 ms
Schedule: guided  | Threads: 32 | Chunk: 1   | 90th percentile: 1.243896 ms
Schedule: guided  | Threads: 32 | Chunk: 2   | 90th percentile: 1.272217 ms
Schedule: guided  | Threads: 32 | Chunk: 4   | 90th percentile: 1.220215 ms
Schedule: guided  | Threads: 32 | Chunk: 8   | 90th percentile: 1.316650 ms
Schedule: guided  | Threads: 32 | Chunk: 16  | 90th percentile: 1.236816 ms
Schedule: guided  | Threads: 32 | Chunk: 32  | 90th percentile: 1.274170 ms

========================================
Matrix: ./rail_5177.txt
========================================
Schedule: static  | Threads: 2  | Chunk: 1   | 90th percentile: 0.062988 ms
Schedule: static  | Threads: 2  | Chunk: 2   | 90th percentile: 0.062500 ms
Schedule: static  | Threads: 2  | Chunk: 4   | 90th percentile: 0.026855 ms
Schedule: static  | Threads: 2  | Chunk: 8   | 90th percentile: 0.039062 ms
Schedule: static  | Threads: 2  | Chunk: 16  | 90th percentile: 0.020752 ms
Schedule: static  | Threads: 2  | Chunk: 32  | 90th percentile: 0.018555 ms
Schedule: static  | Threads: 4  | Chunk: 1   | 90th percentile: 0.051514 ms
Schedule: static  | Threads: 4  | Chunk: 2   | 90th percentile: 0.021484 ms
Schedule: static  | Threads: 4  | Chunk: 4   | 90th percentile: 0.021484 ms
Schedule: static  | Threads: 4  | Chunk: 8   | 90th percentile: 0.018799 ms
Schedule: static  | Threads: 4  | Chunk: 16  | 90th percentile: 0.015381 ms
Schedule: static  | Threads: 4  | Chunk: 32  | 90th percentile: 0.022461 ms
Schedule: static  | Threads: 8  | Chunk: 1   | 90th percentile: 0.044189 ms
Schedule: static  | Threads: 8  | Chunk: 2   | 90th percentile: 0.019531 ms
Schedule: static  | Threads: 8  | Chunk: 4   | 90th percentile: 0.013184 ms
